,sentences
55545,"However, if it were larger, it could have troubled your living, so it is something to remain conscious about."
55589," From what I can recall, they kept increasing slowly, for about a week before I decided to check with an optician regarding my concern for a torn retina, but no such signs were found."
55630,I hope it helps.
55650,And I have dryness also.
55670,I am living with idiopathic RVOT NSVT for over ten years now.
55723,Benzodiazepines work better than Vistaril (Hydroxyzine) PRN.
55766,"My breathing is much more shallow, and I can sit comfortably at 90% and not even feel bad."
55860,Has to avoid lemon and tamarind.
55864,Shall we continue or discontinue the current prescription?
55900,I have a great deal of self control with the pills and do not take them just because I feel panicky.
55920,Could this be from the herniated disc?
55955,"From your description and the MRI report, it is quite clear that the patient is suffering from what is commonly known as brain stroke (attachment removed to protect patient identity)."
56074,"4) Maniac episodes consist of irritability or euphoric mood, over activity, decreased need for sleep, over-talkative, grandiose, hyper sexuality, the flight of ideas and pressure of speech."
56219,It hurts when I walk and I now have three bumps.
56231,"But corns typically are of long duration, appear over pressure prone areas of the toe and do not subside on their own."
56260,"You may, therefore, start immediately with 50 mg Pyridoxine per day for two months initially."
56269,"I do not have my second premolar in the upper side, I only have the first premolar."
56294,The main problem is that we failed to understand whether my baby is hungry or she is sleepy as in both the cases baby sucks her finger.
56339,Is there any treatment plan for stage 4 endometrium cancer with lung metastasis.
56384,It will be around 10 millicuries.
56400,Avoid nylon undergarments and use cotton ones instead.
56593,"Once opened up, the pain subsides and you can wait for another four weeks to get the root canal completed."
56624,"Here in our place, doctors are not that well informed about these diseases, so they do not really know how to deal with it."
56702,I am getting wierd type of muscle spasms since past 15 years.
56717,Since you are taking Vitamin D but not the Calcium.
56841,"So as I said earlier, if any palpable nodes are present, it should be excised for tissue diagnosis and bronchoscopy can be avoided."
56895,"Once awake, spend your first hour in the sun, either having tea, or reading newspaper or jogging."
56997,If my surgeon would have agreed to just do local with a pain pill I would have been on board.
57005,"Also, I have a minor cold and cough, no fever but coughing some sputum up."
57021,"He cannot do this on a tablet for the same reason, you will move on pain and he will make mistakes."
57060,I have seen multiple doctors for my slightly high CK levels.
57091,"Avoid cosmetic creams, powders and soaps."
57093,That is my story.
57219,"You have mentioned that your blood reports are fine, but have you been tested for thyroid and diabetes?"
57269,Is this too long to wait?
57275,"Vitreous degeneration, vitreous detachment, vitreous hemorrhage, diabetic retinopathy."
57300,She has a couple diagnoses however today she confided in me that she was having thoughts of hurting people and our one year old daughter.
57319,"Also, if there is some genetic issue with your body then that does not allow to grow as well."
57342,"Consume more fresh fruit juices three to four times in a day, that will make you fresh."
57406,Urine culture and USG (ultra sound) abdomen.
57416,Make a special mention to the kind of contraception either of the partners was using and any mishaps during sex.
57439,"If the blood testosterone level is low, even then injections of HCG (human chorionic gonadotrophin) or oral Clomifene is a better choice."
57695,"My eyes feel heavy, I find myself nodding off at work."
57739,So kindly start reducing weight.
57778,"Also read in websites that horny goat weed (750 mg) with maca (150 mg) also gives good results in correction of erectile dysfunction and hence, recently bought one and using for the past one week one tablet per day."
57993,You can take Dulane (Duloxetine) 20 mg at bedtime (if you are not known allergic to this one) this would help to some extent for pain relief.
58004,If it is high it means you have herpes infection.
58034,Opening a bottle and buttoning pants during this time is a lot of effort too.
58148,Hence pregnancy seems unlikely.
58164,Abnormal urination like some times very frequent urination and sometimes very less urination.
58212,"I can provide you with some status, but since I am not sure how to distinguish between prostate cancer and rectum cancer."
58218,It is quite sad that your uncle has advanced stage of cancer.
58252,You have to be treated with antibiotics to resolve your diverticulitis which is active and with antispasmodics to relieve pain.
58269,Removing excess cement stuck in between the crown and natural tooth is a correct procedure.
58275,Your gums should be inflamed in that region due to constant irritation.
58340,Avoid excessively oily and spicy foods.
58594,Nothing more can be done.
58730,Pain occurs due to spasm of the sphincter muscle and surgery aims at its division partly.
58837,"Include plenty of fresh fruits, vegetables and healthy natural supplements like almonds, dates, and walnuts in your daily diet."
58858,"Five days later again I have done a scan in that my NT rate came as 2.1 mm and nasal bone is ossified, the result was satisfactory."
58889,"Week 1: Take the last tablet as soon as you remember and take the next one at your normal time, which may mean taking two tablets in one day."
58925,You need to visit your therapist to do these therapy as you alone might not be able to do these.
58931,I heard Kalarchi powder mixed with pepper and castor oil can be applied on my testicles to cure the above said problems.
58997,If you have any sexual relationship then take precautions because in infection if you do intercourse it will exaggerate your problem.
59001,Take a fibrous diet.
59055,Such minimal fluids can cause ringing sensation without any hearing loss.
59139,"In this condition, I would strongly like to suggest you to consult your dentist again for a clinical examination of the affected area and condition of it for better results."
59159,It seemed to itch the most on her feet.
59169,"It definitely looks worse than it ever did before and we are afraid that it is something more serious and the doctors we have been taking her to, keep misdiagnosing her."
59239,"Coming back to the problem of penis I have early ejaculation, lost of sexual desire, sperms are diluted and sometimes yellowish, crystal clear gel type substance are found in it."
59264,Bone conditions are important for implant stability.
59283,Doctors that I have gone to said I have tendonitis in it now and that is why it hurts in the first place though no testing has been done to confirm it.
59300,Do you have any headaches while observing these flashes?
59529,Periapical abscess due to fracture or secondary caries.
59531,The CT thorax report for chronic cough in comparison made to chest radiograph.
59540,"I understand from your description that you have a chronic cough and did a CT Thorax, but I am confused as there are no CT images attached."
59552,We gave her that in the evening after trying her usual 6 OZ bottle that she did not take even an ounce of it.
59576,"As far as the jerky movements are concerned it is quiet common in children of this age group, they enjoy doing it, so need not panic, just relax and watch your little one grow."
59683,It is a chronic condition and will need long term treatment.
59709,Antral follicle count 5-6.
59769,All not really validated through any test.
59800,"The pain takes a second or two to come, it is not instant on contact."
59839,They will separate the baby cells from the liquid and do test on it.
59860,Does pancreatitis progress slowly?
59873,I do not think you should be worried off as he is still 10 years old and has still more years left for growth.
59877,"Meanwhile, encourage him to participate in sports and do stretching exercises."
59895,No placenta previa.
59942,Go for a walk 30 minutes a day.
60222,"This is a bit lower than normal weight.You were on antidepressant, which you have left, also which could cause anovulation."
60226,"I do not know why you had taken, but this medicine itself can cause absence of cycle."
60291,"But, my doctor did not seem to be concerned as my HDL was high."
60321,Then I felt fine for the next five months.
60398,He has infusion of FOLFOX scheduled for this week.
60441,Is it abnormal or serious?
60535,"Also, use an elastocrepe bandage of six inches width from the toes to just below the knee to reduce the swelling."
60570,Importantly avoid vitamin C or citrus food up to four hours after food as it helps in improving iron absorption.
60648,I am 26 years old and diagnosed with rheumatoid arthritis when I was 23.
60711,I consulted a rheumatologist and a neurologist.
60752,"My father is suffering from asthma and tried most of the treatment, but nothing worked."
60763,Give him one glass of lukewarm milk along with one teaspoon of turmeric powder every night.
60807,It is a small procedure.
60853,I consulted for gait analysis and then chose new running shoe Nike Pegasus 31.
60914,We immediately rushed to hospital.
60919,Except procalcitonin all above values are dropped.
60961,Do not apply any other cream.
60965,For the fungal infection take a tablet of Fluconazole 150 mg once followed by the same tablet one week later.
60966,"Also, wash the area with normal temperature clean water twice daily, and apply Onabet (Sertaconazole Nitrate) or Zimig (Terbinafine Hydrochloride) cream."
61076,It will become clear in two to three days as chicken pox takes two to three days to come full blown.
61164,"When I was little, I sometimes masturbated to amusing stories I heard like a thief being caught and tickled by kids."
61183,"By looking at the history and symptoms, a few things come to my list of differential diagnosis."
61214,Revert with more information to a dermatologist online --> https://www.icliniq.com/ask-a-doctor-online/dermatologist
61288,I have vision problem.
61307,"The extent to which it effects the body organs, depends on the severity of the disease."
61328,Thus the vascularity helps to remove inflammatory products and heal the wound.
61332,What is the conclusive timeline for hepatitis B and C testing?
61338,"Normal ALT, AST, ALP, LD, and albumin."
61367,My upper right one tooth (front tooth) is painful to touch from the front.
61398,Patients need to be on medication for at least some years to minimize chances of relapse.
61474,The treatment of it is to avoid coffee at all and see the difference.
61501,"Secondly, the vaginal swab culture shows infection with streptococcus species and should be treated with sensitive antibiotic like Zinnat."
61538,"Also, keep the child in a separate cot whilst sleeping."
61649,Or could there still be a possibility?
61675,"You should go to an ophthalmologist immediately in case if there is an increase in the number of these floaters, or if you are seeing flashes of light."
61688,You may also do nasal odor tests to confirm the loss of sense of smell and let us know the results of the same.
61705,We were not aware of this during our appointment with the cardiologist.
61709,Thanks for your detailed explanation.
61736,About a week and a half ago I injured my knee while playing soccer.
61943,My H.pylori test is negative.
61964,"Now, my pimple is healed up."
61989,I visited a urologist and he asked me to undergo urine routine and culture tests.
62026,"Just over a month ago, I went to a naturopathic doctor to see if they could provide answers."
62037,"It can be confirmed by skin biopsy, spongiotic dermatitis is a broader term, you must get repeat biopsy and rule out the cause and get treatment accordingly."
62075,My parents and I are worried about the situation and also about the dosage of Sulpitac which has not been reduced till date.
62094,"Since your socket is filled with blood, there is nothing to worry much."
62156,"In the last 12 hours I have a mild discomfort in my left testicle, but it comes and goes."
62159,"It does not feel swollen, but I am not usually paying so much attention to my body."
62228,My daughter is 2.5 years old.
62235,"But the CBC report taken last week shows, she has a high WBC level of 25000."
62331,"You should check your fasting blood, lipid profile, and glucose, and look after your blood pressure values."
62339,The right posterior cerebral artery is hypoplastic.
62384,"kindly share the reports of urine analysis, USG KUB (ultrasound kidney, ureter and bladder) PVR (post residual volume), and blood sugar."
62406,I am confused if this is my period or ovulatory connected and or related to DHEA.
62411,So ovulation is pending naturally and this is endometrium breaking and bleeding in the absence of progesterone which marks the start of the secretory phase of menstrual cycle.
62426,"Secondly, the tiny bump can be a healed ulcer."
62517,"You have a crunching sound when you place your hand across the chest, this suggests either supraspinatus calcification or acromioclavicular joint problem which are most common."
62564,"So, if at all the issues were there, that might have been now settled down and you become absolutely normal."
62646,"You should know that the brain MRI has a much higher sensitivity and specificity for such diagnosis, compared to the CT (computed tomography) scan and it has no risks of radiation."
62665,Sarcoidosis is a chronic granulomatous condition that can be treated only by steroids that you are already taking.
62699,Some of the children in this age group has this pain.
62734,"After that try studying, taking the help of a spectacle (zero power)."
62771,"You could have a cardiac MRI (magnetic resonance imaging), which is much better in assessing the heart's walls thickness and function."
62874,"My advice on treatment: 1) Even if the cause is viral, there can be a bacterial added infection, so start on antibiotics."
62878,3) Gargling with warm salt water or betadine gargles three to four times a day will help.
62938,I feel you should go to dermatologist academic center to seek consultation.
62950,"So, your DCT might be positive."
62955,My son is 17 years old.
63004,"I cannot feel heat or cold temperatures on the glans of my penis either, which I think as signs of neuropathy."
63106,I can comment on the treatment plan only after seeing the picture and x-ray.
63132,The causes of bad breath are either abscess formation associated with pus collection or food lodgment in the fractured tooth.
63153,"Since the additional findings (effusion, lymph nodes, etc.)"
63340,Revert after a week to a medical gastroenterologist online -->https://www.icliniq.com/ask-a-doctor-online/medical-gastroenterologist
63352,"Also, I am on regular thyroid medication."
63376,By seeing the photos which I have attached here for your reference please tell me what it is.
63394,Could you please explain to me?
63409,"Do not worry, you will be fine."
63443,The onset of these symptoms seems to have maybe been gradual but my acknowledgment of how bad they are was definitely more abrupt and coincided with my efforts in trying to climb back into the real world after my depressive episode.
63482,Then his doctor asked for a blood test.
63597,Random aches are also suggestive of colitis and infection.
63667,"Since there was almost immediate evacuation the next day, it is a good sign and it will keep coming out."
63689,Miscellaneous: Nil.
63770,"Warts can develop even years after the infection is acquired, therefore it is never really possible to know whether you are infected or not unless you develop a clinically visible lesion."
63791,Please suggest to me is there any need for a diagnostic check up?
63801,I am 7 months pregnant.
63824,"In highschool, I smoked weed a couple of times when I was in 16-18 years of age."
63831,How long ago was the last time you smoked weed?
63833,Sometimes using marijuana can cause depersonalization-derealization symptoms.
63838,"If these symptoms are persistent and affecting your normal functioning, consult a psychiatrist in your city for evaluation."
64054,"Start her on this medication and watch for her motions if she develops diarrhea, connect with me again."
64204,What are the 10 rules girls with glowing skin follow?
64223,In the urinary bladder when more glucose is present due to osmosis it draws more water and patient get repeated urge to pass urine.
64242,Do I have anything to worry about or trust the latest results that I have no herpes and put this to rest?
64254,Some men cannot grow full beards due to low density of hair follicles in beard area in them and that depends on their genes and hormones.
64314,"I am guessing you are having repeated episodes of tonsillitis, where you have been given antibiotics."
64487,"Making people believe that mental illnesses are like any other medical illnesses, and these occur because of change in neuro-transmitters also help in reducing stigma."
64665,Escitalopram 10 mg for anxiety once a day.
64772,I still have hair loss and brittle nails.
64815,Diarrhea is 20 times a day very watery.
64885,Is it safe to take Gelusil with these medicines?
64892,"Hi doctor,I did a test."
64915,"Also, I feel a horrible pounding headache."
64957,"I checked my blood pressure, and it was 111/63 mmHg."
64980,"It was such a scary and frightening situation where I and my dad did not know what to do and out of nowhere, my dad suddenly pushed her eye with a little pressure and the eye was back in its position as usual."
65004,My all other reports are normal except DHEA-S.
65046,Now no need to do a further investigation as the count is within the limit.
65064,What they did find was a slight increase in trabeculations of the left ventricle.
65164,Cramping and bloating shall subside after your period as well.
65215,I am using Patanjali toothpowder this time and I have done scaling also.
65322,"Report back if needed, otherwise, it will take three to five days to resolve."
65419,I was told by our family pediatrician that it is minor and might go away as time passes.
65429,The next treatment depends on the type of squint.
65571,And do you have any follow up questions for me?
65761,Both are normal.
65776,"Many young drivers feel the same, but you appear to be more affected by anxiety related to driving and parking."
65976,Protovic-DF two teaspoons two times a day (mix in a glass of milk) for six months.
66059,"My grandmother, her parents, and two of her brothers, as well as my father, all died before the age of 50 because of heart attack."
66121,I got pregnant in march this year and got it aborted through medicines (Cytotec).
66150,"I do not drink alcohol, caffeine, smoke, or take any medication regularly."
66178,"Bera test report shows profound hearing loss, but MRI and Ct are fine."
66214,Her recent ultrasound shows placenta previa.
66264,"The dosage of Lignocaine depends on your age, weight and presence of other systemic ilnesses."
66279,Clinical findings are deviation of nasal septum and sinusitis.I would like to know the best treatment other than surgery.
66326,You should monitor your blood pressure three times a day for a week with an electronic blood pressure apparatus.
66454,"However, I would advise taking a fresh sample of blood from the veins and checking the counts again."
66480,"For this reason, I would recommend trying natural ways to relieve your anxiety: Yoga and meditation, recreational sports, going out with friends in the afternoon, taking herbal supplements (Passiflora and Valeriana) in order to improve your situation when the lightheadedness occurs, taking daily Magnesium supplements which can help calm your nervous system and improve your mental health, and reduce maximally coffee or energy drinks intake."
66553,"Do not do heavy strenuous work, do not let anyone do an internal examination for you and no intercourse even."
66622,I am always fatigued.
66663,"Gradually, after about 12 weeks, things went back to about 90 % of normal."
66859,"I often do sense inside my head, i.e., pricking with pins and needles and flu-like symptoms all the time."
66878,"For your detailed physical examination, you need to consult nearby internal medicine specialist."
66903,Revert with more information to an obstetrician and gynaecologist online --> https://icliniq.com./ask-a-doctor-online/obstetrician-and-gynaecologist
66918,"I would suggest you take neutralizing foods like banana, tender coconut, yogurt, and curd."
66944,Always use sunscreen lotion.
67020,"I am studying french, and every time I conjugate, I get a brain fog."
67024,"Being a school counselor, I feel that you are having concentration issues while analyzing or solving any query in your academic work."
67031,Practice helps in skill-building.
67043,"Usually, prenatal vitamins contain vitamin C and you do not need to take any extra supplement."
67074,"Even if it happens rarely because of this, peritonitis has very prominent symptoms like severe pain in the abdomen and you would have needed to be hospitalized."
67116,Do warm water and salt rinse three to four times daily.
67141,"Most commonly, patients present to us with a fuzzy head after improper sleep for a long time (insomnia), long term stress at the workplace, too much caffeine, or caffeinated drinks."
67183,I stopped the Depo Provera because it reduces my bone density.
67189,"My advice is to get it removed and go for a barrier method, which is easy to use and takes no lag time to get back to normal physiological cycle without any delay."
67217,Diane-35 is taken for 21 consecutive days with seven days off.
67230,"But I do feel exhausted, and it takes me days to get back to normal."
67350,Since then I have tried other OTC allergy medicine as well as multiple nasal sprays that do not work.
67462,What are the possibilities and what is the most likely possibility?
67506,I can feel good for a week then I am just whacked out tired and low for a week.
67537,Recently I am not feeling as much libido as it used to be.
67670,Any infection or advanced age or some spine disease.
67676,I have been suffering from nightfall for one and a half years.
67738,Stop if there are any redness and irritation.
67776,"So you have plenty of options, but first, get the investigations done and then consult your urologist."
67879,Please get back to me after four weeks.
67883,"The report said it might be a splenic hemangioma, but that other benign or malignant lesions or metastatic focus cannot be entirely excluded."
67905,I am feeling overweight.
67951,Can I still have abscess left?
68039,"It was red, swollen, painful and tearing."
68056,I am finding it difficult to quit onion.
68072,I heard this happens when the lower wisdom tooth is infected.
68080,"But, this is not enough for this type of infection."
68169,Then he never used alcohol.
68174,"But, now his weight gain and belly fat is also increasing."
68181,"You must stop all oily food, must keep checking his sugar levels."
68301,It seems I am addicted to these medicines.
68313,I have been getting a cold drop of water sensation all over my body.
68396,These measures will also help in relieving your itching.
68440,I have a white patch on the inner side of my foreskin.
68444,How can I get it removed?
68457,You need to take some precautions: Please review with me after three days so that I can guide you further.
68492,Also had a brain MRI done because I thought I definitely had stage 4 cancer.
68533,For further queries consult a medical oncologist online --> https://www.icliniq.com/ask-a-doctor-online/medical-oncologist
68555,"This occurs when the lower third molar, wisdom tooth starts coming out."
68603,Take Makardhwaj Rasayan tablet one tablet twice a day with milk for two to three weeks only.
68694,"High uric acid levels, 5."
68699,I also found out that I have a skin bridge between my foreskin and head.
68731,"analgesics,"
68796,"I have lumps in my breasts, and the nipples curve inward sometimes."
68831,"This pain may be related to noncardiac cause as well, like musculoskeletal or gastric reflux."
68925,Also could high progesterone levels be masking the miscarriage?
68955,"Wearing braces is very common at this age, and different types of them are also available for better esthetics so that you can choose from them according to your needs."
68988,"For a good effective treatment, I need to know what medicines you are taking along with insulin."
69067,"I become happy by seeing his failure to read, but I do not feel that I should myself read for my satisfaction."
69094,"Two years ago, I discovered a small lump in my neck near the back right side."
69117,"I know his mother and sister, and they are proud of him."
69314,And also enlarged spleen creates trouble in pregnancy as uterine growth in pregnancy is affected and enough space might not available as the spleen is much enlarged.
69461,Dengue and other basic reports showed negative.
69498,One would have palpitations and irregularities in heart beating in this case.
69506,It went away after that.
69581,She does not have any history of the same issue and currently not on any medications.
69643,What are the pros and cons of these options?
69666,It is better to have some counseling sessions to do some catharsis and learn relaxation strategies.
69670,"Reduce smoking, if you do."
69751,"I am taking Cilnidipine 10 mg, Rosuvastatin 10 mg, Fenofibrate 150 mg and Clopidogrel 75 mg."
69794,I am currently on Eptoin 100 mg.
69804,"Apart from these two, there are no other major complications."
69809,I consulted gastrologist too.
69956,"Although the dentist did not find any cavities, he could not be sure if I needed a root canal treatment and referred me to an endodontist."
69960,"He also suggested a mouth guard because, the dentin is wearing away on some of the molars, the gums are receding and there are little periodontal pockets forming in those teeth."
69961,"These cracks in my teeth are vertical, straight lines."
69986,I can definitely see a texture difference.
70037,And how long will it continue?
70129,"You need to have a healthy lifestyle like avoiding fatty, oily, fried, and high-calorie diets."
70140,My right testicle is 4.5 x 5.6 cm.
70149,I also like to make it clear that other than the unequal appearance there is no harm with an unequal size of the testis.
70201,Is it something I should be concerned about?
70313,Contact your psychiatrist for an early review.
70326,Do you have any generalized anxiety or social anxiety?
70364,Dhootapapeshwar Makardhwaja Gutika 1 tablet twice a day with ghee.
70426,"And, I had basmati rice and dal makan with channa and bit homemade puliyogare, it had become dry as it was kept in a tightly closed cover for almost three days."
70438,"CBC(complete blood count),"
70533,I recently had a pap smear done.
70558,I think it went under my eyelid and I did not tell my parents about it.
70592,"Some blood lab tests are necessary too (complete blood count, vitamin B12 plasma levels for possible deficiency, and blood electrolytes for possible imbalances)."
70631,"Hello doctor,I am a 33 year old male."
70643,What are the benefits of ginger for hair that has gotten thinner?
70814,I am having a problem with breathing at times.
70830,if needed.
71022,Regular checking of blood pressure and urine for infection and protein loss must be done.
71046,"If you have some symptoms, it needs to be treated."
71139,I was recently told that I have nothing to worry about with my heart but when I received a copy of my ECG online I see a number of odd beats and am looking for a second opinion.
71147,In your case the Effexor you are using could make you experience more PVCs.
71187,"Recurring pink, irritating rash-causing discharge inside the belly button."
71198,"However, there are certain conditions that mimic PCOS, like thyroid, adrenal problem, and hyperprolactinemia, etc."
71222,Anything hot tastes or drink immediate feels like heating in the stomach.
71303,"He is practical, and every parent would love to have him as a son."
71327,Please give suggestion.
71448,Periodontal problems due to chronic tartar deposits or may be associated with receding gums.
71668,"Also, these medications should not be stopped till the patient has become totally stable and normal."
71703,I rubbed my penis over her vagina.
71728,I suggest that you perform complete lipid profile.
71829,We are not in a position to have a second child now.
71875,Should I do something about it?
71878,I have gone through the pictures of your baby (attachment removed to protect patient identity).
71906,For more information consult a dermatologist online --> https://icliniq.com./ask-a-doctor-online/dermatologist
71912,"Premature ejaculation, erectile dysfunction, and lack of sexual urge are all three different problems."
72006,"Taking low dose Klonopin (Clonazepam) along with Abilify should help to minimize the anxiety due to withdrawal, and you should give it a try."
72251,"Pain may be due to sudden lifting of heavyweight, which resulted in compression and tissue swelling."
72320,And I am really scared about that.
72378,"There is no suspicious osseous lesion at T12-L1, there is no significant disc pathology."
72410,The reversal of ET function depends on the success rate of it.
72495,"PRL,"
72572,"Regarding your questions, beating regularly will never be helpful."
72595,It may take a few days for the effect to start.
72603,I am afraid of taking Venlafaxine due to potential withdrawal symptoms.
72621,Please correct me if I am wrong.
72661,"In severe cases, a tooth may need to removed along with the cyst."
72703,How to reduce calprotectin for Crohn's disease naturally?
72757,Blood in vomiting need evaluation to find out the cause for it.
72844,"I am 27 years old, with no chronic health diseases."
72869,2) Xylometazoline nose drops two drops twice a day and after instilling drops in nose take good steam inhalation for five minutes and continue it for seven days.
72929,ER visit for migraine cocktail for headache relief.
72930,Water intake two liters per day.
72947,So it is advisable to get reviewed sooner.
73015,"So, ovulation will not occur."
73039,I was sleeping on my back and did not roll on the arm.
73080,You should complete antibiotic course as prescribed for its coverage.
73094,Can HIV RNA be positive after negative at 21st day?
73182,However that still does not ensure you acquiring the infection.
73195,What Can be the Cause For Blood Stained Phlegm?
73223,I am facing this problem from years.
73257,I am suffering from left side upper back pain as well as left sided chest pain for the past one year.
73326,The air was quite cloudy in the room regardless of the size.
73375,Do not allow food lodgement.
73472,You may know that Modafinil is a psychostimulant drug which can be used to promote wakefulness.
73499,"Alcoholic neuropathy is bilateral, and if you have on both legs, you need to stop drinking and start taking Vitamin B12 500 microgram twice a day."
73644,So your doctor has treated you correctly with Multivitamin injection.
73664,Analgesics are important to relieve pain and swelling.
73683,"Hello doctor,I have a newborn of three weeks old."
73845,Medical science is still not that advance to cure these defects while the mother is pregnant.
73856,It is never yellow.
73888,Apply steroid lotion (like Hivate) plus Calamine lotion (mix both of them and apply bd).
73893,"She is very active, runs half marathons, and works out three to five times a week."
73935,I am taking Flexon MR and doing few muscle exercises keeping the jaw in movement.
73998,"I would suggest adding a new medicine, tablet Concor 2.5 mg (Bisoprolol) once daily at 8 AM."
74106,I still do not have enough blood and have pale skin.
74207,Take tablet Cetirizine 10 mg at night for 14 days.
74279,But we have still to confirm it without doubt through biopsy of the lesion.
74288,Nasal vibrissae (small hairs) which block particles size of an ant.
74315,Like no muscle inside the body.
74355,I want to recover and restart my gym activity.
74369,Do not over brush that tooth or tooth in that area.
74447,"There have not been documented evidence of ecstasy having a reaction with an OCP (oral contraceptive pill) pill, but some times the efficiency of the pill may come down with medications of this category."
74599,Chances of getting paralysis after surgery are very low may be around 1 in 100 but other smaller problems after surgery are common.
74607,"When it is happening by itself, it is only a few beats but when I put his feet in a certain position it sometimes goes on and on."
74622,Low neutrophils.
74732,It is a mood disorder causing a persistent feeling of sadness and loss of interest.
74733,The persistent sadness or loss of interest that characterizes major depression can lead to a range of emotional and physical conditions.
74827,"With medicines, there is very little chance for the dissolution of stone."
74977,"I have attached my blood report, my doctor suggested me Warfarin sodium daily and a skin-tight sock and he said that may be I have to take it for a lifetime."
75096,The ultrasound had shown mild inflammation of the appendix.
75253,"I am 15 and, I mean I do not necessarily think I have depression."
75345,Deep breathing exercises and pranayam can help.
75361,"But if the number of drops is more than usual, then only we can say that you are having a disease and should be treated or not."
75375,Effective drugs for the treatment of social phobia include (1) Selective serotonin reuptake inhibitors (SSRIs) like Paroxetine or Escitalopram.
75413,I am 21 years old and never had any issues of bad health.
75429,These are the two most common reasons for an irregular heartbeat.
75464,"In the first stage, we operate mouth to place the implant (as your mother has nine missing teeth)."
75688,The high output will clear urine infection by flushing action.
75769,"Since five days, I have been taking Pantodac 40 mg."
75772,I am completely anxious and stressed for the past five weeks after the incident of unprotected sex.
75782,"Hello doctor,I recently started taking the combination pill."
75807,I did not feel any weakness.
75820,Can triglycerides be elevated on their own or there must be some underlying cause?
75831,I even find difficulty in explaining the movie that I watched recently.
75837,"Also, I am an ex-smoker and have just quit smoking for two months (my smoking history: around 20 years, around 20 cigarettes per day)."
75868,"You could feel the extra heartbeat, if you are having palpitations."
75916,"She is better now, but during that time, I had a constant burning like sensation in the back of my head."
75993,You may do some positive things about it such as: a) Pranayama practice daily morning - to purify the lung.
76079,I am nauseated as well.
76090,"She was put into an antibiotic a couple of days ago Amoxicillin, so I do not thinks she is allergic since it has been days, no other known allergies."
76093,"It appears to be a case of viral rash, and the details available and neither can not diagnose the specific viral type is it of much significance."
76113,"She should try to drink eight cups of fluid without caffeine, and eat plenty of vegetables and fruits."
76172,Vigamox (Moxifloxacin) eye drop six times a day for seven days.
76239,"Regarding gender dysphoria, you will need a comprehensive assessment by a specialist team following which you will be put on a step-wise treatment approach."
76371,"I have attested pictures, for other details, I do not have an erectile problem, I am not sexually active, in fact after the last oral sex experience I thought not to engage until I have a green pass from the doctor."
76457,"The bladder spasm could be due to infection, coexisting enlarged prostate, or any intra-bladder chemo medicine given after surgery."
76490,"Meanwhile, you can take because like multivitamin B complex tablets."
76526,"The funny thing is, every time when I am pregnant they disappear."
76586,The result was TSH at 3.45.
76649,"First, you need to understand pimples are common, and you may experience frequent exacerbation due to stress or harmonies."
76658,It is a combination of Benzoyl peroxide and clindamycin.
76729,The symptoms you describe could be consistent with a cervical disc problem but are not specific to how severe it might be.
76789,My 3-year-old granddaughter swallowed a thin magnet 11 days ago.
76815,I am 18 weeks pregnant.
76819,My Hb% is 9 and I am anemic.
76837,"However, I have never tried it with Remeron."
76839,I hope this answers you.
76848,"Hello doctor,In left shoulder joint minimal fluid seen in the subcoracoid and subdeltoid bursa and also in bicep tendon."
76873,Please give any suggestion.
76916,My face becoming disgusting.
76956,"It makes no sense, but is annoying me."
77048,And that is why these have become part of you and now disturbing you in your dreams and sleep as well.
77185,There is no need to panic as it is not related to bleed inside your brain.
77205,"I have seen reports (attachment removed to protect patient identity), suggestive of newly detected type 2 diabetes mellitus."
77238,"Size 47 by 41 by 38 mm, volume 39 cc."
77267,"Even after some adjustments, the issue was still there."
77346,So you need to treat anxiety with anxiolytic medicine and with SSRI (selective serotonin reuptake inhibitor) group of drug for few months along with counseling.
77373,We have also only fooled around maybe 10 times in the past year.
77374,We have been together for two years.
77463,My blood pressure was 180/100 mmHg before treatment and now I am on Telmisartan H 40 mg once daily.
77478,Why is it really hard to walk without severe pain?
77524,"She was treated for the flu, so the fever went away on the fifth day, but she had a very noticeable swelling around the left clavicular area."
77540,"I also had an EKG, chest x-rays, and blood tests and everything came back normal."
77623,Had dental surgery a month ago and since then refuses to sleep in his bed.
77646,I am 23-years-old.
77662,Maintain a menstrual calendar as well for these six months.
77754,Can this be treated with medicine only?
77785,I will be happy to answer your queries.
77822,"For IBS, we give a high fiber diet and methylcellulose to regularise the bowel habits."
77825,"Methylcellulose three spoons two times a day in 200 ml water or milk, continue it."
77839,The second one is having problems and characterized by a sick looking child and barking cough.
77844,You can ask specifically if needed.
77886,"First, I thought it was depression, but it is not lasting for whole days, not it continuing for months, but more like two to three hours of down phase."
77913,If not then do it again now while she is fasting.
78040,"Or should I take a natural remedy like VigRx Plus, Vimax etc?"
78050,What can I do to speed the process?
78062,"Warm water sitz bath, which involves sitting in a tub warm of water, to soak the painful anal area, helps a lot in this condition."
78095,I have one question.
78142,Another condition that presents with hypersomnia is depression.
78176,"Due to constant attention and pressing, there is slight piercing feeling in that section but this disappears after rest."
78274,You can overcome premature ejaculation by using proper medicines and following techniques such as start-stop technique.
78284,"And not be able to lift it without having the mouth completely open, so the jaw hurts."
78310,This is quite normal in young adults trying first-time sex.
78311,So do not worry too much.
78380,Now why vitamin D deficiency is there has to be evaluated.
